title,images,colors,material,size,pieces,description,0,1,2,3,4,5,6,7,8,Desi,bullet,keywords,manufacturer,UK ID,AU ID,MX ID,TR ID,AE ID,SG ID,JP ID,CA ID,US item_type_keyword,IT ID,FR ID,ES ID,PL ID,NL ID,DE ID,BG ID,SE ID,item type name
Lampshade Indoor Green Lampshade Modern Home Lighting Indoor Light 30x48 Bedroom Decorative Lampshade,1,green,wooden,30x30x48,1,"The design is wooden lampshade.
Made from linden wood.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x48 cm.",,456,456,485,,485,525,516,557,9,You can use it in many corners of your home. = You can clean it with a damp cloth. = It can be carried easily.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Table Top Lamp Home Accessory Lighting Modern Indoor Lampshade 30x48 Decorative Wooden Lampshade,2,green,wooden,30x30x48,1,"The design is wooden lampshade.
Made from linden wood.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x45 cm.",,488,488,517,,517,557,548,589,9,It is produced as a special design.= You can use it in many corners of your home. = You can clean it with a damp cloth.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Wooden Decorative Home Decoration Lamp Indoor Lighting Design Table Top Lampshade,3,colourfull,porcelain,30x30x45,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x45 cm.",,862,862,891,,891,931,922,963,9,It can be cleaned with a damp cloth.= Easy to install.= It is a modern design.,design; modern; stylish; wood; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; orange,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Wooden Stylish Home Decor Indoor Lighting  Study Room Decorative Lampshade,4,brown,wooden,30x30x52,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x52 cm.",,566,566,596,,596,638,629,674,10,It is produced as a special design.= You can use it in many corners of your home. = You can clean it with a damp cloth.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Porcelain Desing Lighting Home Decoration Living Room Indoor Table Lampshade,6,orange,porcelain,30x30x55,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pattern painting.
Product dimensions are 30x55 cm.",,1028,1028,1059,,1059,1104,1094,1140,11,You can clean it with a damp cloth.= Easy to carry.= It will add color to your home with its colors.,modern; stylish; geometric; home decoration; house; decorative; lampshade; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting; sconce,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Wooden Stylish Home Decor Indoor Lighting  Study Room Decorative Lampshade,5,gray,wooden,30x30x52,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x52 cm.",,566,566,596,,596,638,629,674,10,It is produced as a special design.= You can use it in many corners of your home. = You can clean it with a damp cloth.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Table Lighting Modern Colorful Lamp Home Decor  30x56 cm Decorative Lampshade,7,colourfull,porcelain,30x30x56,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pattern painting.
Product dimensions are 30x55 cm.",,1028,1028,1059,,1059,1104,1094,1140,11,It can be cleaned with a damp cloth.= Easy to install.= It is a modern design.,modern; stylish; geometric; home decoration; house; decorative; lampshade; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting; sconce,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Stylish Table Light 30x45 cm Indoor Living Room Decorative Lampshade,8,colourfull,porcelain,30x30x45,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x45 cm.",,862,862,891,,891,931,922,963,9,You can use it in many corners of your home. = You can clean it with a damp cloth. = It can be carried easily.,design; modern; stylish; wood; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; orange,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Decoration Lighting Table Lamp Living Room Porcelain Decorative Cleanable Lampshade,9,colourfull,porcelain,30x30x52,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x52 cm.",,1060,1060,1090,,1090,1132,1123,168,10,Easy to clean.= It is a modern and stylish design.= It will add elegance to your living room.,stylish; modern; wood; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; black,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Home Decoration 30x45 Stylish Lighting Modern Decorative Cleanable Lampshade,10,colourfull,porcelain,30x30x45,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x45 cm.",,478,478,508,,508,550,541,586,10,You can clean it with a damp cloth.= Easy to carry.= It will add color to your home with its colors.,modern; stylish; geometric; home decoration; house; decorative; lampshade; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting; sconce,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Home Indoor Lighting Living Room Table Lamp Modern  Decorative Black Wooden Lampshade,11,black,wooden,30x30x45,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x45 cm.",,474,474,502,,502,542,534,575,9,Ligthting a large area.= The light does not disturb you while reading.= You can place it anywhere in your home.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; black; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Home Indoor Lighting Living Room Table Lamp Modern  Decorative Wooden Blue 30x45 Cm Lampshade,12,blue,wooden,30x30x45,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
It is decorated with geometric pieces.
Product dimensions are 30x45 cm.",,474,474,502,,502,542,534,575,9,Ligthting a large area.= The light does not disturb you while reading.= You can place it anywhere in your home.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; black; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Lighting Glass Desing Table Lamb Living Room Cleanable Decorative 30x45 Cm Lampshade,14,glass,glass,30x30x45,1,"The blue lampshade is made of wood.
The body part of the product, which is white, is produced with glass.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 30x45 cm.",,527,52,556,,556,596,587,628,9,You can clean it with a damp cloth = It has a modern design. = You can put it anywhere in your home.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; pine; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Lighting Glass Desing Table Lamb Living Room Cleanable Decorative Blue 30x45 Cm Lampshade,13,blue,glass,30x30x45,1,"The blue lampshade is made of wood.
The body part of the product, which is white, is produced with glass.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 30x45 cm.",,527,52,556,,556,596,587,628,9,You can clean it with a damp cloth = It has a modern design. = You can put it anywhere in your home.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; pine; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Decorative Lighting Stylish Wooden Lamp Home Decorative Table Cleanable Lampshade,15,red,wooden,30x30x45,1,"The design is wooden lampshade.
It is a colorful product.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 30x45 cm.",,598,598,627,,627,667,658,699,9,It can be cleaned with a damp cloth.= Easy to install.= It is a modern design.,modern; stylish; geometric; home decoration; house; decorative; lampshade; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting; sconce,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Stylish Bedroom Glass Lampshade Home Decor Light Decorative Lampshade 18x20 cm,16,white,glass,18x18x20,1,"The design is glass lampshade.
It is a product that you can easily put on your bedside.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 18x20 cm.",,220,220,226,,226,243,238,245,2,You can clean it with a damp cloth. = You can put it in the bedroom. = It is a stylish product.,modern; stylish; geometric; home decoration; house; decorative; lampshade; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting; sconce,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Indoor Lighting Wooden Design Table Lamp Light Cleanable Decorative White 30x45 Cm Lampshade ,17,white,wooden,30x30x45,1,"The design is glass lampshade.
It is a product that you can easily put on your bedside.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 30x45 cm.",,702,702,732,,732,772,763,804,9,It is produced as a special design.= You can use it in many corners of your home. = You can clean it with a damp cloth.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Indoor Lighting Wooden Design Table Lamp Light Cleanable Decorative Black 30x45 Cm Lampshade ,18,black,wooden,30x30x45,1,"The design is glass lampshade.
It is a product that you can easily put on your bedside.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 30x45 cm.",,702,702,732,,732,772,763,804,9,It is produced as a special design.= You can use it in many corners of your home. = You can clean it with a damp cloth.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Gold Desing Table Lamp Modern Home Decor Lighting Metal Decorative Lampshade,"19,21",gold,metal,25x25x48,1,"The design consists of a metal body.
You can easily use it in your library and study room.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 25x48 cm.",,660,660,688,,688,723,716,746,8,It is made of metal.= It has a modern design.= It can be cleaned easily.,lampshade; metal; modern; stylish; geometric; home decoration; house; decorative; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting;,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Modern Gold Lamp Living Room Decoration Light Indoor Stylish Cleanable Lampshade,"20,21",gold,metal,28x28x46,1,"The design consists of a metal body.
You can easily use it in your library and study room.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 26x48 cm.",,435,435,464,,464,501,493,528,8,It can be cleaned with a damp cloth.= Easy to install.= It is a modern design.,lampshade; metal; modern; stylish; geometric; home decoration; house; decorative; lighting; lamp; living room; bedroom; study room; design; decorative; colourful; home lighting;,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Stylish Light Home Desing Table Lighting 28x48 cm Yellow Decorative Lampshade,24,yellow,wooden,28x28x48,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x48 cm.",,456,456,485,,485,525,516,557,9,It is made of metal.= It has a modern design.= It can be cleaned easily.,stylish; modern; wood; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; black,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Stylish Light Home Desing Table Lighting 28x48 cm Brown Decorative Lampshade,27,brown,wooden,28x28x48,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x48 cm.",,456,456,485,,485,525,516,557,9,It is made of metal.= It has a modern design.= It can be cleaned easily.,stylish; modern; wood; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; black,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Stylish Light Home Desing Table Lighting 28x48 cm Green Decorative Lampshade,29,green,wooden,28x28x48,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x48 cm.",,456,456,485,,485,525,516,557,9,It is made of metal.= It has a modern design.= It can be cleaned easily.,stylish; modern; wood; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; black,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Wooden Desing Table Lighting Modern Decoration Lamp Cleanable Decorative Lampshade,31,brown,wooden,28x28x55,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x55 cm.",,496,496,526,,526,568,559,604,10,It is produced as a special design.= You can use it in many corners of your home. = You can clean it with a damp cloth.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Wooden Lamp Modern Home Lampshade Night Light 28x60 Cm Black Decorative Lampshade,39,black,wooden,28x28x60,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x60 cm.",,531,531,561,,561,603,594,639,9,You can clean it with a damp cloth. = You can put it in the bedroom. = It is a stylish product.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; pine; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Wooden Lamp Modern Home Lampshade Night Light 28x60 Cm Brown Decorative Lampshade,37,brown,wooden,28x28x60,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x60 cm.",,531,531,561,,561,603,594,639,9,You can clean it with a damp cloth. = You can put it in the bedroom. = It is a stylish product.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; pine; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Wooden Lamp Modern Home Lampshade Night Light 28x60 Cm Blue Decorative Lampshade,34,blue,wooden,28x28x60,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x60 cm.",,531,531,561,,561,603,594,639,9,You can clean it with a damp cloth. = You can put it in the bedroom. = It is a stylish product.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; pine; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Indoor Wooden Lamp Modern Home Lampshade Night Light 28x60 Green Decorative Lampshade,33,green,wooden,28x28x60,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x60 cm.",,531,531,561,,561,603,594,639,9,You can clean it with a damp cloth. = You can put it in the bedroom. = It is a stylish product.,lampshade; stylish; modern; wood; lighting; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture; pine; kitchen,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
Lampshade Home Lighting Table Lampshade Bedroom Decor 28x50 Blue Decorative Lampshade,45,blue,wooden,28x28x50,1,"The design consists of a wooden body.
It will add elegance and color to your home.
It is easy to clean.
You can easily use it in every corner of your home.
It has a modern and stylish design.
Product dimensions are 28x59 cm.",,399,399,429,,429,471,462,507,10,Easy to clean.= It is a modern and stylish design.= It will add elegance to your living room.,design; modern; stylish; wood; linden; lighting; lampshade; home decoration; lamp; library; study room; bedroom; decorative; living room; personal belongings; furniture,eWorldpartner,10709351,4989981051,9886302011,,,6935687051,2134007051,3130309011,lampshades,1904591031,248382031,4204460031,2078592031,16454252031,248311031,27646922031,20637623031,"Lampshade, Lighting"
